Tweet;komentar;Sentimen
289;Kalau untuk kebaikan rakyat Indonesia saya sih mendukung para hacker coy.  Bocorkan saja sudah semua kejahatan2 para pemimpin yg bermasalah.  Tindak tegas semua tanpa pandang bulu.  Sudah waktunya negara ini bersih2 dri para hama yg membuat bau busuk !;Negatif
290;ibarat genteng bocor , jangan salahkan air hujan nya , tapi genteng nya yg perlu di ganti yg bagus;Negatif
291;Infrastruktur IT begitu majunya sayang mengapa tidak disertai dengan benteng keamanan dari serangan heaker? Apakah negeri ini belum siap dengan teknologo IT;Negatif
292;Nasib nasib. . indonesia indonesia. . selemah itu kah sistim mu. . bolak balik di retas miris dan menangis aku mendengarnya. . ;Negatif
293;wuih. . . . keren buanget ini pembobol data . . . | byorka ini sangat perduli sama NKRI,   suka suka menyerang petinggi,  . . . .  entah sampai kapan ,  dia up date kondisi NKRI. . | ;Negatif
294;Perlu ketahui juga,  jgn pernah kaitkan nmor hp wa dgn email. . klo TDK mau di sadap semua isi hp;Negatif
295;"Pantesan. . no hp umum nya di masukin macam2
Rupanya data pemerintah. . sangat mudah data masyarakat di bobol. . ";Negatif
296;Bayak yg gagal faham data masyarakat yg bocor seperti ktp,  kk,  maka bisa di salah gunakan, , , ,  seperti pinjaman online,  menyedap hp,  dan akun piribadi anda. . . ;Netral
297;System pengamanan data Indonesia  masih sangat lemah,  apa kabar kominfo?;Negatif
298;Yg duduk di bidang pengamanan cyber semua nya uda tua dan tidak update ya gitu akibatnya;Negatif
299;"bersyukur terhadap hacker udah ngebobol data pemerintah . . . 
terus berjuang buat para hacker. ";Negatif
300;"Peratama ngomong benar. . . perbanyak keamanan hacking indonesia. . . atau siber. . . 
Cari pakar it yn pinter pinter. . . agar data pemerintah tak bisa di bobol. . . 
Angaran harus banyak. . . . ";Positif
301;"Data bocor juga tidak pyur dari keamanan yg kurang baik 
Tp kadang penguna , atau masyarakat nya ngk hati2 masuk ke situs link, 
Kadang cuma karena uang 10k pada  siap masukin data ke situs, wab. ";Positif
302;Bukan sistem nya yg lemah,  hacker nya aja yang pintar. ;Negatif
303;"pihak pemerintah jgn gaptek dong
biar gk dibobol hackers";Negatif
304;Sistem keamanannya bisa jadi bukannya lemah tpi tidak ada;Negatif
305;Dunia IT memang bukan dunia yg aman,  bahkan sekelas Google,  FB dan CIA pun bisa diretas.  Sebaiknya kita jg ikut menjaga data diri kita,  sekali data diri kita masuk dunia online. . . kita gak bakal tahu siapa yg akan mempergunakannya kelak. ;Positif
306;cyber crime spt dengan mudah mengakses data data penting di republik ini.  Persoalan password yg lemah atau bocor diruang publik menjadi persoalan yg menakutkan. .  bgmn jika terjadi padah ranah ranah privat. .  yg disebar luas utk kepentingan mendegradasi trust publik;Negatif
307;jadi ini -  sebagai sumber KALIM BIG DATA 110jt,  berarti bisajadi adanya kasus PEMBOBOLAN DATA oleh Bjorka juga atas dasar permintaan kita | mereka|  juga untuk kepentingan golongan tertentu;Negatif
308;ditanya apa dijawab apa,  data bocor masih baru mau akan divalidasi. . . . . atap bocor,  air nya yang divalidasi air beneran atau bukan. . . . . . how slow can you go. . . ;Negatif
309;Iya bener harus di validasi dulu lah orang data juga dari dulu juga banyak data,   ya tapi ga ada efek nya di hack juga kalo ada efek Ngtif sikat hacker nya aja sampe ketemu kalo ga mau di hack non aktifkan internet wow;Positif
310;Ya itulah lemah nya . kebocoran data . itulah jadi nya;Negatif
311;memang benar,  sistem keamanan siber indonesia lemah. ;Negatif
312;"Bahkan server KPU pernah diretas anak MTs.  
Apa gak malu?";Negatif
313;Kalau itu bocor pasti ada salah satu media nasional. di kasih sebagian data retasannya. sebagian gantinya dia minta imbalan. lah hecker ini dia upload di akun sendiri. itu kan cuman cari popularitas. ;Negatif
314;Katanya data akan aman. . . . . .  mana janji kalian . . . . . ;Negatif
315;mereka bukannya malu kalau datanya bocor tapi mereka hanya takut kehilangan jabatan dan kepercayaan masyarakat;Negatif
316;"Nunggu data rahasia apalagi yang bakal di bocorkan. . . . .  kan enak kalo di sangkal data itu bukan data rahasia . . . .  "" data yang sudah banyak beredar"" . . . . .  jadi bukan hasil kerja hacker. . . .  hehehe. . .  keren bagian penyimpanan data rahasia tetep jadi rahasia karena datanya juga misteri | ada apa tidak| ,  kalo memang hacker jago ungkapin data2 perbankan targetnya. . . . .  baru keren. . . . ";Negatif
317;harusnya sistem indonesia itu kaya luar negeri.  hacker itu diberdayakan bukan dipenjarakan.  ibaratnya ga terima kalo ada orang yg lebih pinter.  padahal hacker autodidak banyak lbh pro drpd yg bljr di kampus. ;Netral
318;Mereka tidak percaya data sudah bocor. ;Negatif
319;"Boro² nanggapin soal kebocoran data. 
Situs resmi pemerintahan aja acak adut ui sama sistemnya. 
Katanya semua serba online tapi yg ngurus seperti amatir dan belum siap. 
Mau bocor berkali²pun ya wajar. ";Negatif
320;Kalo pedulilindungi dibobol juga awas aja data masyarakat ada disana. ;Negatif
321;Jangankan data2 di Indonesia,  bahkan sistem cyber di luar negeri bisa di bobol oleh Hackkers Indonesia.  Contoh Hacker Indonesia pernah memindahkan arah satelit israel Ketahuilah bahwa Hackkers Indonesia itu jenius .  Nah maka kejeniusan Hacker tsb seharusnya dimanfaatkan buat kebaikan dan kemajuan pembangunan Indonesa. ;Netral
322;Bagi pengamat bjorka apakah anda sadar. yg dirugikan rakyat seharusnya anda yg di percaya rakyat untuk mengamankan data,  jgn cuma alasan saja;Negatif
323;Gak bisa di pungkirin kalo tim perlindungan data pemerintah kalah pinter sama hacker ini️;Negatif
324;Bukan lemah,  bjorka pakai sistem diatas sistem,   hacker pegang kontrol 4tingkat,   satelit2 control utama dunia mereka punya akses;Negatif
325;"sepertinya hacker ini ngebobol data data itu cm ngebocorin org""  yg korupsi yg harus di basmi begitu jg dgn fs. 
jika kalian merasa tidak bersalah kenapa takut hacker itu cm buat yg koruptor. ";Negatif
326;kesempatan kita membangun aplikasi dalam negeri kalo produk luar negeri sama aja bocor. . .  ngapain beli mahal dari negara lain;Negatif
327;selagi  program data di buat manusia, pasti ada interfensi dari manusia itu sendiri. ;Netral
328;BILA PERLU BUKA DATA2 REKENING PEJABAT NEGARA INDONESIA YG ADA DI LUAR NEGERI, DI BEBERKAN SATU PERSATU KE PUBLIK. . ;Negatif
329;Hadaah cuma lapisan pertama yg dibobol.  Terlalu di gede gedein.  .  Utk yg lebih dalam lagi masih aman. ;Netral
330;"Tetep aja mau uud Siber dibuat kaya gimanapun juga selama keamanan datanya tidak diperbaiki tidak ditingkatkan,  buat apa ?
masi akan byk bjorka2 yg lain pakkk. ";Negatif
331;Menterinya ilmunya ga sampai kayaknya.  Data sampai jebol ber kali2 . ;Negatif
332;Bjorka???. . . . . bjorkadrun kaleee. . . ,  nggak ada tuh data sim bocor. . . . manaaa?;Negatif
333;Coba deh main ke Kantor KOMINFO waktu jam KERJA,  nanti pasti tau kenapa kita KEBOBOLAN terus;Negatif
334;"Kebocoran data sistim dibikin sistimatis LIMPAHKAN TUDUHKAN UUD ITE PADA
Kominfo -  Efek domino, ikut alihkan kasus nasional . ";Negatif
335;Palidasi kpd orang yg dibocorkan,  tinggal ditanya kpd orang yg dibocorkan. ;Negatif
336;Negaea kok bgini gak bisa nglindungi data warga  isa diperjuyal blikan kan bahaya skali ini bagi warga dan negara. mkanya klo naruh orang se level mentri itu yg tau tupoksi keahliannya . klo bgini mkin hancurlah;Negatif
337;Bagus, . . . bongkar data KPU biar rakyat tahu hasil pemilu 2009 yang sebenarnya;Negatif
338;Katanya hoax. . . . malu ya kalau mengakui perlindungan datanya lemah. . . . ;Negatif
339;"Gw tuh pengen denger "" INI KESALAHAN KAMI ATAS KETIDAK MAMPUAN  KAMI UNTUK MENGEMBAN TUGAS UNTUK MENJAGA AMANAT YANG DI BERIKAN KEPADA KAMI DENGAN INI KAMI MOHON MAAF DAN SAYA MUNDUR PER HARI INI TERIMAKASIH"" ";Netral
340;Saya juga telah berhasil membocorkan data diri saya sendiri;Negatif
341;Sistem pertahanan lemah.  Tidak masalah.   Yang penting korupsi bisa tetap jalan tanpa Ada yg tau. ;Negatif
342;Ah orang dalam. . . . . data saya dibobol oleh pak RT. . . . dari tgl lahir,  alamat,  nik,  dll. . . lengkap;Negatif
343;Bisa bisa yg merasa data pribadinya sdh digunakn oleh org yg tdk bertanggung jawab memperkarakan pemerintah,  krn tdk mumpuni meng amankan datanya️;Negatif
344;Terlalu merendahkan hacker sehingga keamanan pun tidak  canggih;Negatif
345;"Ahli telematika jadi Menpora. 
Ahli pertanian jadi Menkoinfo
Guru ngaji jadi menaker
Kalo ada kebocoran data ya wajar,  Krn pekerjaan tidak di pegang oleh ahlinya";Negatif
346;"Kalo petinggi NKRI,  kuat bisnis dengan rakyaty sendiri N bohong itu ya kuat kalo ptinggi negara,  muda"" han bocorkan semua yang akn bisa buat masalah dalam pdip, ";Negatif
347;sistem cyber RI jadi bahan lelucon negara lain;Negatif
348;saya mendukung bjorka membongkar data2 intelejen;Negatif
349;Mudah nya sekurity ke amanan Indonesia di bobol hacker, , disini kita menilai SDM Indonesia di bidang intelijen sangat lemah, , sekurity ke amanan Indonesia di anggap kacang oleh hacker asing, , ;Negatif
350;Disaat BSSN sibuk validasi data,  Hacker sudah lebih jauh menjarah data2 lain;Negatif
351;Komentar disini hampir SEMUA dukung bjorka ,  apa ini menandakan bahwa rakyat Indonesia sudah tidak percaya Dan kesal pada pengelola negara ini;Netral
352;Buset,  yang jagain data malaj boomer.  Mau gimana pertahanan data nya?;Negatif
353;Lemah emg sistem pertahanannya. ;Negatif
354;Kalau sampai bobol ya sdh jelas lemah.  Sdh jgn mbulet aja.  Ngaku lah.  Banyak org2 yang ga pantas duduk di posisi yang penting;Negatif
355;"Kalau ber ulang""  kebocoran data itu namanya dungu. ";Negatif
356;Mengerikan mendengar omongan yg kluar dari bapak yg memimpin badan siber negara,  sama sekali tidak kompeten lho. . .  ckckckck. . ;Negatif
357;"bobrok,  lemah. . . tidak serius melindungi data masyarakatnya. . 
Love bjorka";Negatif
358;"bjorka pintar
pemerintah semborono
data- data kok bisa bocor?
mana peran intelijen";Negatif
359;Pemerintah amatiran,  beli software security juga di korupsi;Negatif
360;Makanya kalo ada hecker anak bangsa jangan di penjarakan. .  . . justru di rekrut di tempatkan sesuai kemampuan nya. . . . demi keamanan negara ini. .  Jangan di taro orang yg planga plongo. . .  Ya jadi gini akibat nya. . . ;Negatif
361;Badan siber itu hrs diisi milenial yang canggih. .  gk ush yg tua2. . ;Negatif
362;"Nungu waktu megatron data kena bobol
Megatron :  ngak usah pusing2,  balik aja ke jaman mesin ketik,  ngak usah online2nan.  
Kebiasaan pejabat birokrat selalu lempar tangan dan terima beres. ";Negatif
363;Wow . . . kecolongan lagi . . . parah. . . memalukan;Negatif
364;fix berarti data memang bocor,  bukan data hoax yg tersebar! wkwkwk;Negatif
365;banyak data file foto KTP yang tersimpan di disdikpora di daftarkan pinjol ilegal;Negatif
366;Siap2 data my pertamina juga bocor;Negatif
367;Rakyat biasa datannya bocor paling dpt sms godaan pinjol dan penipuan receh.  Kl org gede datanya bocor,  panas dingin tuch,  takut ketauan da banyak transfer uang kecewek simpenannya wkwkwkkw;Negatif
368;Kominfo kerjaan nya cuma ngeblokir doang;Negatif
369;Sistem keamanan negara ko lemah. . bjorka memang top. . mantul. . mau alasan apa pun bukti sudah ada. . ️;Negatif
370;data bocor bisa dipake curang dalam politik,  siapa menang siapa kalah. ;Negatif
371;bjorka :  cuma dapat data dari oposisi,  seakan2 diretas padahal cuma jual beli data.  Cuma Data pribadi pinjol ilegal juga bisa. ;Negatif
372;Itulah keamanan ciber lemah makanya gampang di bobol ,  lemahnya ciber sudah pasti lemahnya negara;Negatif
373;JANGAN KAWATIR AKAN BOCORNYA DATA. . . .  GUNAKAN NO DROP. . . . kwkwkwkwkw;Negatif
374;Ngeles aja luh pak!!. . . . atau bingung dan tidak tahu bocornya dari mana. . . sebego itukah???;Negatif
375;Dia ga bobol data dia jual beli data. . ;Negatif
376;Data bocor. . . . bocor. . .  Kayak iklan harus beli a*** proof. . . .  Beli 10x klo dasarnya gak bener ya tetep bocor. . ;Negatif
377;Proyek data sekurity siber baru nih . . . trilunan nyayur ini;Negatif
378;Bjorka hacker bohongan,  yg perlu di benahin adalah pemilihan pegawai yg senang bocorkan data. .  Ini bukan ulah hacker;Negatif
379;emang enak ya. . . .  biasa ngintipin aktifitas sosmed rakyat,  skrg dianya diintip orang wkwkwkwkwkwkw;Negatif
380;Bukan pengamanan siber yg lemah,  tapi PEJABAT disitu yg tidak professional;Negatif
381;Bobol duit negara ngak masalah apalagi data;Negatif
382;Bobol juga tuh pinjol2 yg ada diIndonesia baik legal maupun ilegal. biar cepat bangkrut. ;Negatif
383;Bkn ancaman masyarakat buk jgn slh kata mgkn tpt nya ancaman bgi pejabat yg arogan;Negatif
384;Bocooor,  bocooor,  bocooor data ya pakai no drop biar gak bocooor;Negatif
385;SUPAYA TIDAK DIBOBOL HACKER MASUKKAN KOMPUTERNYA KE DALAM KARDUSSSSSSSSSSSSS. . . . . ;Negatif
386;Baguss . . makan. nya ikuti perkembangan tehnologi bos,  jgn gaptek banget,  dan jgn main main dgn kecanggihan tehnologi. . . sangat miris dengarnya sampai dokumen presiden  di sadap juga;Negatif
387;Karena  yg menjabat itu orang2 bocor halus semua. . . . cuk. . ;Negatif
388;bukan sistemnya lemah,  TAPI MEREKA STUPID, . . ;Negatif
389;Ayoo berbenah;Positif
390;iyalah kebobolan. . . orang cuma jago ngomong. . praktek nihil ! ketar ketirnya pada saat kejadian. . . giliran gak ada kejadian. . pada leha leha. . kwkwkwk;Negatif
391;Kami mendukungmu hackers.  Bongkar terus data para pejabat tengik dan pencuri uang rakyat;Negatif
392;Intinya KOMINFO harus di pecat aja, jk tidak bs bertanggung jawab dalam kebocoran data orang banyak,  mundur aja daripada malu malu in masyarakat,   DOING BEING AN IDIOT,  JANGAN JADI PEJABAT YG IDIOT,  sampe sampe data pribadi bs di bobol;Negatif
393;Wkwk dulu yg bilang sebelum pemilu data kita aman;Negatif
394;Sudah jelas ada data bocor da.  Ada buktinya aja masih ngeyel.  Ngak berasa kecolongan atau ngak peduli. ;Negatif
395;"Sedih ada pejabat kementrian ketika kementriannya di Hack malah memelas pasrah "" Jangang di hack duoooong""  walah pelajaran buat inteligen negara karena apapun levelnya hacking yang dilakukan Bjorka ,  adalah fakta BIN dan Sandi Negara sudah kebobolan dan  di cengin Bjorka";Negatif
396;"Kebocoran data sangat berbahaya,  sehingga kita perlu bersama""  menjaga data kita";Positif
397;Memang cyber security indo ampas.  Selamat dtg dimetaverse,  dimana identitas data yg terbobol jika digunakan untuk keburukan berimbas ke pemilik asli. ;Negatif
398;"Ini lah klo dh slah gk mengakui,  ini dh berkali2 tpi masih lempar2 tanggung jawab 
Yg bocorin BPJS aj gk ketangkap,  lebih baik kasi ke pihak swasta aj dh data kita ngadalin pemerintah makin carut marut
Kaum boomer turun lah ini era digital bukan era elu lagi";Negatif
399;Mana yang ga falid tong. . . kok ga mau nyadar kalau ketahanan ITE mu lemah. . .   Wkwkkwk sampeek sesak Pratama njelasin. . . oh my God;Negatif
400;Hacker sipil aja mudah masuk . . . .  Apalagi cyber army negara yg bobol. . . bubar data negara ini. . . . ;Negatif
401;Potret pemimpin indonesia data dibobol ga ada malu apalagi minta maaf tpi masih cobgkak dan sombong. mkanya indo ga maju2;Negatif
402;"Semua pandai ngomong. . . . hehehe. . . . udah lah. . . . bongkar semua. . . . ga perlu berahsia2 antara kita. . . . 
Kepala keamanan Siber BSSN udah gagal. . . klu punya maruah. . . . undur diri dong. . . . beri pada yg  berkompetensi. . . . ";Negatif
403;"Ad surat presiden ke bin. . msh d bilang dari pasar dark web. . wkwkwk. 
Ketua bssn makanya kerja nyata bukan berkoar koar yg ngawur. ";Negatif
404;"Kominfo bacot doang blokir aplikasi 
Alasannya biar melindungi data masyarakat Indonesia 🇮🇩
Ga perlu disaring data sama pihak aplikasi terkait lah. .  
Bocor ini buktinya kita jangan mau diatur- atur sama kominfo";Negatif
405;Klu hecker orang indonesia dan membobol pemerintahan,  y harus di tangkap karena dia penghianat Negara. ;Positif
406;Gua saluut si sama bjiorka yg BSA menunjukan bhwasanya Sistem keamanan data Indonesia Sangat lemah.  Dengan mudahnya diobok- obok hacker luar negeri. lawakkkkk bet. wkwkwkwk;Negatif
407;Gelek,  bikin aturan abal abal,  sok buat aturan harus registrasi simcard,  manfaatnya gak ada,  yang ada justru penipuan.  0 besar;Negatif
408;Kalo kartu PRAKERJA di bobol juga mantab itu. . . karena lebih lengkap BIODATANYA. . *.  BSSN plintat plintut. . . bicara index segala. . . yg jelas data rakyat Indonesia BOCOR. . . KTP.  KK. pln. telkom. bbjs. dan peduli lindungi. . . . . malunya tu. . . Kominfo lemah. . . . ;Negatif
409;SEBAR DATA OLEH BJORKA PANIK, SEBAR DATA NASABAH YANG MARAK OLEH PINJOL BIASA BIASA AJA GAK ADA PENANGANAN SERIUS;Negatif
410;Biar aja  Hacker Bjorka membobol data pertamina,  biar semua orang tahu bobroknya  PERTAMINA!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;Negatif
411;"Banyak bicara ini itu. . . yg simple2 aj. . Data KK. . . . banyak yg bocor. . . . lihat di online shop. . . . bnyk kartu perdana yg sudah di regristrasi. . . 
Aturan regristrasi perdana kartu aturan rezim North korea";Negatif
412;Lah gmn data ga bobol trus,  kepala bssn nya ajj bego,  ditanya apa jawab ngaler ngidul. . . ;Negatif
413;Harusnya mikir klo msh bisa d bobol brarti bobrok sistem klean wahai rezim;Negatif
414;biasa saja datanya.  kalau data kita2 rakyat jelata,  gak urus dah.  hey bejo,  coba buka data yang bikin gempar.  helehhhhhh jangan2 bjorka ini cebong nyamar, ;Negatif
415;Pejabat2 pada sibuk nggarong  kecolongan data2nya bakal nyebar,  sooo. . pada kelojotan Luh,  masy gembira,  kebusukan terbongkar. ;Negatif
416;Emang kerjanya hecker  tukang bobolyg yg suka ngobol ngobol data orang;Negatif
417;Kalau mau nipu seharusnya paling tidak bocorkan juga data pihak oposisi,  ini malah sebelah pihak.  Kadrun nipu aja masih bod oh  apa lagi bekerja dengan otak? Ngak mampu. ;Negatif
418;Hey Hacker!! Jangan menyerang keamanan siber kami,  atau kami akan mengganti password kami secara rutin dan menjaga data- data kami secara mandiri;Positif
419;"Terlalu sibuk ngehack warga nya sendiri dan blokir2.  Cloning2 sim card,  semua itu cuma pakai surat perintah.  Yang begitu sih itu anak  kuliah semester 3 juga bisa.  Ilmunya ilmu kekuasaan.  Begitu dihadapkan dengan hacker beneran nggak bisa apa2.  Malah memohon mohon.  Kok tidak malu ya? Nggak cium tangan sekalian?
Harusnya gagah berani lawan dengan keahlian. ";Negatif
420;Jangan berhenti berkarya demi keselamatan negeri ini.  Ingatkan sebelum negeri ini diambil alih bangsa lain.  Saya lahir di negeri ini,  cinta pada negeri ini,  dan akan mempertahankan negeri ini sebisa saya. ;Positif
421; Semoga pemerintah bisa bantu rakyat indonesia jaga keamanan indonesia;Positif
422;"Semakin keruh aja keadaan bangsa tercinta ini 
Semoga ALLAH SWT menjaga orang2  yg memiliki tekad  berjuang untuk negeri ini Aamiin";Positif
423;"Bukan bjorka yg merugikan kita, , , 
   Tp yg merugikan kita adalah yg kita percaya tp tdk mampu menjaga";Positif
424;"Ini pasti kreatifitas anak bangsa!
Jika pemerintah tidak merakyat ya tidak bisa menemukan dia 
Karna banyak yang mempunyai kemampuan ini di negri ini dan malah lebih tinggi ilmunya tetapi belum siap";Netral
425;Bila warga negara menjadikan seorang hacker sebagai pahlawan,  ini pertanda ada ketidak beresan dalam penyelenggaraan negara dan menunjukan ketidak percayaaan warga terhadap pemerintahnya. ;Netral
426;Menurutku bukan udd yang harus direvisi,  yang harus di ubah pola pikir pejabat bahwa security digital harus lebih serius di tanggapin.  Bukan sekedar rekrut pegawai tapi skill dan pengalaman lebih di utamakan di bandingkan persyaratan ijazah. . ;Netral
427;"Baik bagi pemerintah untuk introspeksi,  jangan hanya bertanya mengapa masyarakat malah "" menyanjung""  atau "" mendukung""  peretas. ";Netral
428;Saya dukung pemerintah untuk memperketat sistem keamanan digitalnya. ;Positif
429;kita lihat, siapa yg dirugikan oleh peretas ini.  kalau mereka merugikan rakyat indonesia baik secara langsung atau tidak maka kita tidak boleh mendukungnya. ;Positif
430;Pemerintah harus dan wajib melindungi data pribadi masyarakat. kalo sudah bocor begini apa boleh buat️.  kelalaian pemerintah yang keamanan data kurang akurat. semoga kedepan nya keamanan data masyarakat di perkuat. kenapa pemerintah Indonesia lalai terhadap keamanan data️. . apakah data keamanan masyarakat Indonesia sangat lemah️. ;Netral
431;"Dampak baiknya Bjorka membuat pemerintah bisa intropeksi diri dan lebih serius lagi dalam memegang amanah rakyat.  
Dampak buruknya ya data kalian sebagian besar udh bisa diakses oleh siapapun dan kapanpun secara permanen.  Beberapa tahun ke depan data kita jadi sasaran empuk penipu,  pinjol,  dll";Netral
432;Biarpun peretasan tidak di bebnarkan. . . . tapi Itu teguran warga ke pemerintah. . . . bahwa pemerintahan harus lebih konsisten menjaga data masyarakat. . . . . . ditunjuk hidungnya bahwa banyak pejabat yg tidak konsisten dan mumpuni. . . . ;Netral
433;Siapapun dia tetap suatu saat akan merugikan negara kita sendiri sekarang aja kelihatan membela rakyat, , dia hanya menyerang pejabat negara ini , , tapi jika dia disusupi orang yg ingin menyerang negara kita makan kita sendiri rakyat juga yg akan mendapatkan dampak nya , , , ini sudah tugas kita semua rakyat indonesia menjaga melindungi rahasia negara kita kepada dunia luar , kita harus membatu aparat penegak hukum;Positif
434;"Oleh karena itu,  agar data tsb aman,  diinput nya oleh yang bersangkutan,  dan tiap user pake pasword.  Sekarang kan sdh canggih,  data tsb bisa diprintout dan bisa dilihat oleh ybs,  dan hasil print outnya secara fisik disimpin di kantor kearsipan negara.  Jadi jika ada kebocoran data ,  tidak begitu sulit tuk melacaknya,  apakah kecerobohan pengguna user ybs atau aplikasi nya yang eror dan atau lupa kunci setelah digunakan.  
Moga kejadian ini cepat terselesaikan. ";Positif
435;Klo smpai d hukum itu salah besar,  justru seharusnya pemerintah menampung orang2 seperti ini untuk membantu pemerintah, , ,   ambil sisi Pstifnya brooo;Netral
436;Ketika masyarakat sudah percaya sama penjahat negara artinya negara kita yang bermasalah sehingga masyarakat tidak percaya lagi sama pemerintah;Netral
437;Gw cuman bisa bilang polisi digital indonesia kuat banget. ;Positif
438;Hebat. . . memang harus ada orang yg jenius kya gini;Positif
439;"Sadarlah para pejabat,  semua rakyat dukung bjorka. . 
Itu menandakan penindasan pemerintah terhadap rakyat sudah menyakitkan";Positif
440;"Pertama buat Undang Undang. 
Kedua perketat keamanan Cyber. 
Silahkan bisa ambil contoh ke keamanan Cyber China yang dekat saja ngga usah jauh jauh Eropa atau Amerika. 
Ketiga Terapkan di Indonesia. 
Keempat perkuat keamanan lintas negara. ";Positif
441;kalo cuma obrak abrik dan gak di sebar hasil peretasannya udah bagus biar sadar bahwa sistem keamanan data masih belum aman dan segera perbaiki.  tapi kalo disebar yah pasti ngamuk lah para warga yang merasa data pribadi dirinya di sebar luaskan. ;Netral
442;Terima kasih,  tetap semangat ya , kerja tanpa pamrih, kebaikan yg di cari bukan kejahatan. ;Positif
443;"Ini tamparan untuk para petinggi negara 
Berbenah diri lah kalian para pejabat negara 
Kalian di kaki oleh rakyat 
Jadi lah pemimpin yg jujur terbuka terhadap rakyat";Positif
444;Sbnrnya merugikan masyarakat juga Karna dgn data yg bocor bisa aja menambah pelaku kejahatan dan juga korban , dgn scra acak korban nya.  Smgat pmrintah tngkp pelakunya;Positif
445;well,  masalahnya bukan muak,  nih haker sih ngak jago2 banget.  dan kalo emang jago dari awal lah kasih bom news ke berita.  Itu data mah cuma data ecek2 kalo menurut gw,  kita masih ada panutan lain Pak Kamarudin.  Bisa di lihat dan memiliki kepribadian yang pantas di ikuti. ;Positif
446;Saya setuju dg wacana pemerintah hrs berbenah scr keseluruhan di bidang IT,  system keamanan data,  org2 yg duduk di posisinya hrs kompeten,  dsb.  Tapi saya tetap tidak bisa membenarkan cyber hacking hanya krn posisi yg berseberangan dg pemerintah.  Pencurian data. adalah kejahatan. ;Positif
447;Serugi ruginya masyarakat mndukung hacker. . . lebih rugi lagi data rakyatnya di anggap data umum  dan bebs diunduh oleh siapapun;Netral
448;kalau memang gak suka sama pemerintahan harusnya yang diserang bukan data rakyatnya, tapi kog ternyata banyak yang dukung kalau data orang indonesia diretas ️;Positif
449;Kalo pendapat saya. . Bjorka itu org Pandai. . . seharusnya Dipelihara atau dipergunakan kemampuannya. . utk memproteksi file file negara yg sangat penting utk diproteksi. . Krn misal kl bisa membobol. . tentu dia tau memproteksinya. . . Entah sapa yg salah. . . ku tak tau. . . ;Positif
450;Data para pengunjung asing khususnya WN India yang berdomisili di negara- tetangga,  hati hati banyak musuh dalam selimut di NKRI. | BPJS kesehatan di Indonesia| itu data Utama warga negara Indonesia. mohon pak presiden bantuan nya. ;Positif
451;Tidak ada sistem yang aman;Positif
452;"Banyak amat bocah bocah yang baru bangun tidur komen "" Bjorka pahlawan kami"" .  Ye betul,  pahlawan.  Pahlawan yang curi data dan informasi bapak kau itu biar buat ngeakses saldo bank.  Good luck ga makan satu bulan kalau saldo bank bapakmu dikuras habis.  Ayo pemerntah tangkap bjiorka";Positif
453;Bjorka itu bentuk dari jatjal negara. jangan sampai masyarakat percaya kpd bjorka. insya allah sebentr lagi akan terkupas siapa bjorka jatjal itu. . ;Positif
454;Mau dibocorkan mau apa kek, terserah gak tertarik, mending rebahan sambil nge Drakor;Netral
455;Hahahah sekelas Kementerian Pertahanan kebobolan,  ini PR bagi pemerintah untuk meningkatkan Kualitas SDM dan Pendidikan di keamanan siber terutama IT;Positif
456;Kl di bobol ya cari orang yg bisa jaga. . . ganti personel yg ngga bermutu. . . adakan perlombaan hacker. . . lalu rekrut. . . jangan tertutup para pejabat indonesia. . . indonesia banyak orang pintar. ;Positif
457;Hadehhh  kok bisa di retas,  apa gk di perbaiki proxy keamanannya ya??  Harusnya di perketat log proxy IT nya karena 5 thn belakangan ini sudah terjadi hacker peretasan dari negara luar maupun dr dlm negri . ;Netral
458;Harusnya indo menyediakan beasiswa untuk hekcer dan memberikan mereka fasilitas layaknya menteri IT harus dibudidayakan hecker tuh;Positif
459;Keamanan negara di sepelekan . . . .  Ayolh . . serius . . .  Dah brapa kali . . . kemhan dibobol;Positif
460;Rubah semua dan hapus bekas lama.  Dan segera belajar ke Prancis . .  dan update tehnology kita .  MEMPRIHATINKAN TEHNOLOGY KITA .  Satelit segera miliki sendiri .  Dan awasi kemajuan HEACKER!!;Positif
